LANG,complexityoflanguages,RSAcostoflanguages,new_col
lang1056gen1mutoff66gen2mutoff4gen6rcoff764,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen4rcoff45,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen7rcoff562,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen7rcoff562gen10rcoff219,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2rcoff1,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2rcoff1gen3mutoff2,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen5rcoff59,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77gen2mutoff4,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77gen6rcoff250,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77gen6rcoff250gen11rcoff11,2,2.2985258637230226,"(2.2985258637230226, 2)"
lang1056gen3rcoff58,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1754,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen11rcoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff102,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff102gen2mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff102gen2mutoff8,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff102gen2mutoff8gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff7gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen4mutoff0gen10rcoff214,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen4mutoff0gen10rcoff214gen14rcoff37,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen6rcoff709,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen6rcoff852,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff0gen6rcoff852gen7rcoff476,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2mutoff9gen3mutoff1gen7rcoff219,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen2rcoff41,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen6rcoff313,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen6rcoff626,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff117gen7rcoff535,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff123,1,4.026879252055598,"(4.026879252055598, 1)"
