LANG,complexityoflanguages,costoflanguages
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4rcoff194gen6rcoff555gen8rcoff57,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen4rcoff33,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen4rcoff33gen10rcoff213,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen4rcoff33gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen6rcoff636,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff5,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff5gen9rcoff203,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1gen6rcoff895,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1gen7rcoff264,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1gen7rcoff264gen10rcoff33,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen4mutoff1gen8rcoff121,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen6rcoff278,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff7gen3mutoff3,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff7gen3mutoff3gen5rcoff142,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff7gen3mutoff3gen5rcoff231,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff7gen3mutoff3gen6rcoff930,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff7gen3mutoff3gen8rcoff160,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8gen3mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8gen3mutoff1gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff8gen8rcoff16,1,4.776119402985076
lang1089gen1mutoff120gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen4mutoff0gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen4mutoff0gen5mutoff0gen6rcoff871,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen7rcoff422,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen7rcoff422gen10rcoff115,1,4.776119402985076
lang1089gen1mutoff120gen3rcoff60gen7rcoff513,1,4.776119402985076
lang1089gen1mutoff120gen6rcoff752,1,4.776119402985076
lang1089gen1mutoff17,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff15,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff15gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff15gen5rcoff289,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff15gen5rcoff289gen6rcoff611,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4gen10rcoff113,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4gen4mutoff1gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4gen4mutoff1gen6rcoff708,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen3mutoff4gen4mutoff1gen6rcoff708gen7rcoff314,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen6rcoff550,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff23gen6rcoff550gen14rcoff46,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff1gen6rcoff50,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff1gen8rcoff139,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff5,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff5gen4rcoff159,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff5gen6rcoff265,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff5gen6rcoff265gen7rcoff151,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen3mutoff5gen6rcoff265gen9rcoff280,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff24gen6rcoff823,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen5mutoff0gen12rcoff51,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen5mutoff0gen6rcoff601,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen5mutoff0gen6rcoff601gen15rcoff34,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen5mutoff0gen6rcoff601gen7rcoff211,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen7rcoff699,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen7rcoff699gen9rcoff368,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen4mutoff0gen9rcoff263,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen3mutoff0gen6rcoff763,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen4mutoff0gen9rcoff272,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff27gen4mutoff0gen9rcoff272gen10rcoff204,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5gen4mutoff0gen10rcoff7,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5gen6rcoff268,1,4.776119402985076
lang1089gen1mutoff17gen2mutoff5gen6rcoff268gen7rcoff8,1,4.776119402985076
lang1089gen1mutoff17gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff17gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff17gen7rcoff230,1,4.776119402985076
lang1105,1,4.776119402985076
lang1105gen1mutoff101,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen4mutoff1,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen4rcoff22,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen4rcoff22gen7rcoff662,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen8rcoff464,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen9rcoff73,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff17gen9rcoff73gen11rcoff198,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff2,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen3mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen3mutoff1,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen3mutoff1gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen3mutoff1gen5mutoff0gen6rcoff291,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen5mutoff0gen10rcoff69,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen5mutoff0gen8rcoff184,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen5mutoff0gen8rcoff184gen9rcoff247,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen5rcoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen6rcoff559,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen6rcoff559gen8rcoff430,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen6rcoff559gen8rcoff430gen37rcoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen6rcoff591,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff22gen6rcoff591gen7rcoff457,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff0gen4mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff0gen4mutoff0gen9rcoff351,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff0gen7rcoff507,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff0gen8rcoff208,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen10rcoff90,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen7rcoff111,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen7rcoff235,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen7rcoff235gen10rcoff94,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen7rcoff235gen15rcoff35,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen4mutoff1gen5rcoff337gen8rcoff293,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen3mutoff4gen7rcoff578,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen6rcoff108,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff25gen6rcoff108gen7rcoff647,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff2gen5rcoff281,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4mutoff1,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4mutoff1gen6rcoff433,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4mutoff1gen6rcoff433gen10rcoff19,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4mutoff1gen6rcoff433gen7rcoff623,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4mutoff1gen7rcoff275,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen11rcoff99,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen13rcoff8,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen7rcoff352,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen7rcoff352gen9rcoff110,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen8rcoff409,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen8rcoff409gen11rcoff192,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen5mutoff0gen8rcoff409gen9rcoff57,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen6rcoff805,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen6rcoff805gen12rcoff59,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen4rcoff172gen7rcoff147,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen5rcoff89,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen6rcoff293,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen6rcoff293gen11rcoff127,1,4.776119402985076
lang1105gen1mutoff101gen2mutoff4gen6rcoff293gen11rcoff132,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen3rcoff150,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen3rcoff150gen6rcoff681,1,4.776119402985076
