"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1082",14,3.00861843823453,2.59094206303928,"Haspel-ok"
"fl1083",15,2.61204746428841,2.04891938651549,"Haspel-ok"
"fl1084",11,2.46892413201886,2.03594503998443,"Haspel-ok"
"fl1085",17,2.82062582635522,2.23405398941818,"Haspel-ok"
"fl1086",13,2.73050485897132,2.22885852038367,"Haspel-ok"
"fl1087",12,2.55130665879226,1.88065485377501,"Haspel-ok"
"fl1088",5,2.67657992565056,2.36946190403189,"Haspel-ok"
"fl1089",18,2.63732238518948,2.3553009242707,"Haspel-ok"
"fl109",2,5.81818181818182,4.55250905328505,"Haspel-ok"
"fl1090",22,2.56246756135538,2.07597975383346,"Haspel-ok"
"fl1091",20,2.98406942105945,2.37348471726008,"Haspel-ok"
"fl1092",3,2.42424242424242,2.42424242424242,"Haspel-ok"
"fl1093",6,2.03389830508475,1.90265930757652,"Haspel-ok"
"fl1094",6,3.26283987915408,2.44079356508067,"Haspel-ok"
"fl1095",5,3.89847715736041,2.74700286046419,"Haspel-ok"
"fl1096",11,2.9417773237998,2.76330136842796,"Haspel-ok"
"fl1097",10,2.83883686545096,2.56010271945121,"Haspel-ok"
"fl1098",14,2.96017130620985,2.19936869735136,"Haspel-ok"
"fl1099",2,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl11",10,4.11428571428572,3.05364589539475,"Haspel-ok"
"fl110",4,1.995841995842,1.87298720329886,"Haspel-ok"
"fl1100",8,3.95967002749771,2.72912435801007,"Haspel-ok"
"fl1101",6,3.39622641509434,2.92516221914275,"Haspel-ok"
"fl1102",9,3.22869955156951,2.02725587742932,"Haspel-ok"
"fl1103",6,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl1104",1,5.21739130434783,4.13457337244867,"Haspel-ok"
"fl1105",11,2.31278859666734,1.67741397262496,"Haspel-ok"
"fl1106",12,2.1417947446703,1.78822728805856,"Haspel-ok"
"fl1107",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl1108",17,2.76845435975488,2.1177313420435,"Haspel-ok"
"fl1109",12,2.98136645962733,2.94551264541496,"Haspel-ok"
"fl111",20,2.83185840707965,2.01935744006603,"Haspel-ok"
"fl1110",17,2.69169360177577,1.87758314288769,"Haspel-ok"
"fl1111",3,3.22147651006712,2.84871591971801,"Haspel-ok"
"fl1112",18,3.16193961573651,2.44363645283994,"Haspel-ok"
"fl1113",6,2.88939051918736,2.26765557953214,"Haspel-ok"
"fl1114",11,2.05714285714286,1.83464833018891,"Haspel-ok"
"fl1115",6,3.63636363636364,2.91066614005314,"Haspel-ok"
"fl1116",1,7.05882352941176,5.17602283539486,"Haspel-ok"
"fl1117",5,3.39823008849558,3.10726854064387,"Haspel-ok"
"fl1118",9,3.28767123287671,2.25327494328425,"Haspel-ok"
"fl1119",4,5.35564853556485,3.9239071456584,"Haspel-ok"
"fl112",12,1.77777777777778,1.72094250451133,"Haspel-ok"
"fl1120",13,3.76040476579076,2.26150200710065,"Haspel-ok"
"fl1121",20,2.10731707317073,1.60474118746266,"Haspel-ok"
"fl1122",7,3.6734693877551,3.0605669227109,"Haspel-ok"
"fl1123",15,2.33752003733539,1.75254544881243,"Haspel-ok"
"fl1124",19,2.5614799662027,2.11833039293481,"Haspel-ok"
"fl1125",11,3.01202719191215,2.40120096070721,"Haspel-ok"
"fl1126",3,6.07594936708861,5.03786369071343,"Haspel-ok"
"fl1127",10,1.84793070259865,1.50773562402957,"Haspel-ok"
"fl1128",17,2.02507910465253,1.61146792873882,"Haspel-ok"
"fl1129",14,5.04157549234136,4.52605531500684,"Haspel-ok"
"fl113",9,3.54461538461539,2.43127765588723,"Haspel-ok"
"fl1130",18,2.87024117998804,2.02836775330412,"Haspel-ok"
"fl1131",21,2.23906705539359,1.7865786335607,"Haspel-ok"
"fl1132",11,2.66502159161012,1.96892524487289,"Haspel-ok"
"fl1133",7,2.52520824199912,1.92831712219998,"Haspel-ok"
"fl1134",18,2.59588084185858,1.95770488722778,"Haspel-ok"
"fl1135",11,2.22565687789799,1.92138666226763,"Haspel-ok"
"fl1136",10,3.21637971149372,2.83101764012378,"Haspel-ok"
"fl1137",12,3.02289211004167,2.09810346603436,"Haspel-ok"
"fl1138",14,2.94503621644653,2.19786060241714,"Haspel-ok"
"fl1139",8,2.84749114278652,2.17417891823178,"Haspel-ok"
"fl114",12,3.19972743062628,2.12342735949837,"Haspel-ok"
"fl1140",10,2.50072358900145,2.26381830986897,"Haspel-ok"
"fl1141",14,3.37289194253592,2.79786852040395,"Haspel-ok"
"fl1142",16,2.48490077653149,1.94275895233482,"Haspel-ok"
"fl1143",2,4.36363636363637,3.70665044227079,"Haspel-ok"
"fl1144",6,2.80701754385965,2.15743012830171,"Haspel-ok"
"fl1145",9,3.21159743518261,2.52532359109244,"Haspel-ok"
"fl1146",11,3.02003921856485,2.11727454384918,"Haspel-ok"
"fl1147",14,3.57349656712714,2.60972709275807,"Haspel-ok"
"fl1148",13,2.61877699477154,2.29591506313658,"Haspel-ok"
"fl1149",19,2.88108040515193,2.46465285771435,"Haspel-ok"
"fl115",10,2.47635425623388,2.06249283401672,"Haspel-ok"
"fl1150",7,4.28890543559196,3.52742925756423,"Haspel-ok"
"fl1151",15,3.31104255686064,2.45043978478544,"Haspel-ok"
