"LANG","syn_index","cov_index","type"
"fl1",3,5,"Haspel-ok"
"fl10",2,5,"Haspel-ok"
"fl100",9,5,"Haspel-ok"
"fl1000",1,3,"Haspel-ok"
"fl1001",1,3,"Haspel-ok"
"fl1002",11,6,"Haspel-ok"
"fl1003",10,6,"Haspel-ok"
"fl1004",10,5,"Haspel-ok"
"fl1005",0,3,"Haspel-ok"
"fl1006",0,3,"Haspel-ok"
"fl1007",4,4,"Haspel-ok"
"fl1008",0,3,"Haspel-ok"
"fl1009",10,6,"Haspel-ok"
"fl101",8,4,"Haspel-ok"
"fl1010",0,3,"Haspel-ok"
"fl1011",8,5,"Haspel-ok"
"fl1012",8,6,"Haspel-ok"
"fl1013",0,3,"Haspel-ok"
"fl1014",2,3,"Haspel-ok"
"fl1015",8,6,"Haspel-ok"
"fl1016",10,6,"Haspel-ok"
"fl1017",4,5,"Haspel-ok"
"fl1018",11,5,"Haspel-ok"
"fl1019",13,5,"Haspel-ok"
"fl102",15,5,"Haspel-ok"
"fl1020",8,4,"Haspel-ok"
"fl1021",11,5,"Haspel-ok"
"fl1022",0,2,"Haspel-ok"
"fl1023",11,5,"Haspel-ok"
"fl1024",0,2,"Haspel-ok"
"fl1025",9,4,"Haspel-ok"
"fl1026",0,4,"Haspel-ok"
"fl1027",4,4,"Haspel-ok"
"fl1028",4,3,"Haspel-ok"
"fl1029",11,6,"Haspel-ok"
"fl103",0,3,"Haspel-ok"
"fl1030",15,6,"Haspel-ok"
"fl1031",2,5,"Haspel-ok"
"fl1032",13,5,"Haspel-ok"
"fl1033",0,4,"Haspel-ok"
"fl1034",9,5,"Haspel-ok"
"fl1035",6,5,"Haspel-ok"
"fl1036",2,4,"Haspel-ok"
"fl1037",1,5,"Haspel-ok"
"fl1038",0,3,"Haspel-ok"
"fl1039",2,4,"Haspel-ok"
"fl104",9,6,"Haspel-ok"
"fl1040",4,3,"Haspel-ok"
"fl1041",9,6,"Haspel-ok"
"fl1042",4,5,"Haspel-ok"
"fl1043",10,6,"Haspel-ok"
"fl1044",1,3,"Haspel-ok"
"fl1045",5,5,"Haspel-ok"
"fl1046",5,4,"Haspel-ok"
"fl1047",0,2,"Haspel-ok"
"fl1048",1,3,"Haspel-ok"
"fl1049",0,2,"Haspel-ok"
"fl105",0,1,"Haspel-ok"
"fl1050",15,5,"Haspel-ok"
"fl1051",8,5,"Haspel-ok"
"fl1052",12,5,"Haspel-ok"
"fl1053",6,4,"Haspel-ok"
"fl1054",4,4,"Haspel-ok"
"fl1055",1,1,"Haspel-ok"
"fl1056",6,6,"Haspel-ok"
"fl1057",14,6,"Haspel-ok"
"fl1058",4,6,"Haspel-ok"
"fl1059",2,4,"Haspel-ok"
"fl106",1,5,"Haspel-ok"
"fl1060",4,5,"Haspel-ok"
"fl1061",3,5,"Haspel-ok"
"fl1062",3,4,"Haspel-ok"
"fl1063",3,4,"Haspel-ok"
"fl1064",9,5,"Haspel-ok"
"fl1065",10,6,"Haspel-ok"
"fl1066",9,6,"Haspel-ok"
"fl1067",15,6,"Haspel-ok"
"fl1068",11,6,"Haspel-ok"
"fl1069",8,5,"Haspel-ok"
"fl107",1,5,"Haspel-ok"
"fl1070",9,5,"Haspel-ok"
