LANG,complexityoflanguages,costoflanguages,new_col
lang1320gen1mutoff113,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen12rcoff206,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff15,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff15gen7rcoff503,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff0gen12rcoff103,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff0gen9rcoff514,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff0gen9rcoff514gen11rcoff156,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff1,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen4mutoff3gen5mutoff1gen8rcoff134,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen6mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen6mutoff0gen10rcoff318,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen6mutoff0gen10rcoff318gen13rcoff81,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen6mutoff0gen7rcoff769,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff18gen6mutoff0gen7rcoff769gen8rcoff313,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen3mutoff7,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff24gen5rcoff109,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen17rcoff37,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2gen6mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2gen6mutoff0gen7rcoff225,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2gen6mutoff0gen7rcoff225gen9rcoff20,1,4.776119402985076,"(4.776119402985076, 1)"
