LANG,complexityoflanguages,RSAcostoflanguages
lang0gen1mutoff112,1,4.026879252055598
lang0gen1mutoff112gen2mutoff11,1,4.026879252055598
lang0gen1mutoff112gen2mutoff11gen17rcoff7,1,4.026879252055598
lang0gen1mutoff112gen2mutoff11gen4rcoff159,1,4.026879252055598
lang0gen1mutoff112gen2mutoff11gen7rcoff609,1,4.026879252055598
lang0gen1mutoff112gen2mutoff11gen7rcoff609gen10rcoff247,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4gen3rcoff317,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4gen3rcoff317gen4rcoff177,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4gen3rcoff317gen7rcoff66,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4gen3rcoff317gen7rcoff66gen8rcoff435,1,4.026879252055598
lang0gen1mutoff112gen2mutoff4gen5mutoff0,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen3mutoff0,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen3mutoff0gen10rcoff221,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen3mutoff1,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen3mutoff1gen9rcoff225,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen4rcoff98,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen4rcoff98gen5mutoff0,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen4rcoff98gen6rcoff483,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen4rcoff98gen6rcoff483gen8rcoff441,1,4.026879252055598
lang0gen1mutoff112gen2mutoff8gen4rcoff98gen6rcoff483gen8rcoff441gen11rcoff61,1,4.026879252055598
lang0gen1mutoff112gen4rcoff203,1,4.026879252055598
lang0gen1mutoff112gen4rcoff227,1,4.026879252055598
lang0gen1mutoff119,1,4.026879252055598
lang0gen1mutoff119gen2mutoff8,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen11rcoff83,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen5mutoff0,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen5mutoff0gen7rcoff617,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen6rcoff183,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen7rcoff396,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen7rcoff396gen12rcoff158,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen7rcoff396gen15rcoff26,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff1gen7rcoff396gen23rcoff2,1,4.026879252055598
lang0gen1mutoff119gen2mutoff9gen3mutoff2,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen12rcoff68,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen5mutoff0,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen5mutoff0gen6rcoff509,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen5mutoff0gen6rcoff509gen9rcoff370,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen5mutoff0gen6rcoff509gen9rcoff370gen11rcoff170,1,4.026879252055598
lang0gen1mutoff119gen4rcoff357gen9rcoff62,1,4.026879252055598
lang0gen1mutoff119gen5mutoff0,1,4.026879252055598
lang0gen1mutoff119gen7rcoff257,1,4.026879252055598
lang0gen1mutoff126,1,4.026879252055598
lang0gen1mutoff126gen2mutoff1,1,4.026879252055598
lang0gen1mutoff126gen2mutoff1gen4mutoff0,1,4.026879252055598
lang0gen1mutoff126gen2mutoff3,1,4.026879252055598
lang0gen1mutoff126gen2mutoff3gen3mutoff1,1,4.026879252055598
lang0gen1mutoff126gen4mutoff0,1,4.026879252055598
lang0gen1mutoff126gen4mutoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff126gen4mutoff0gen5mutoff0gen6rcoff482,1,4.026879252055598
lang0gen1mutoff126gen4mutoff0gen5mutoff0gen7rcoff312,1,4.026879252055598
lang0gen1mutoff126gen4mutoff0gen5mutoff0gen7rcoff312gen10rcoff63,1,4.026879252055598
lang0gen1mutoff126gen5mutoff0,1,4.026879252055598
lang0gen1mutoff126gen7rcoff555,1,4.026879252055598
lang0gen1mutoff130,1,4.026879252055598
lang0gen1mutoff130gen2mutoff10,1,4.026879252055598
lang0gen1mutoff130gen2mutoff10gen5mutoff0,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4mutoff0,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4mutoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4mutoff0gen5mutoff0gen8rcoff262,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4rcoff72,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4rcoff72gen8rcoff194,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4rcoff72gen8rcoff194gen17rcoff20,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen4rcoff72gen8rcoff341,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen5mutoff0,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen3mutoff1gen9rcoff212,1,4.026879252055598
lang0gen1mutoff130gen2mutoff8gen7rcoff188,1,4.026879252055598
lang0gen1mutoff130gen8rcoff338,1,4.026879252055598
lang0gen1mutoff130gen8rcoff338gen10rcoff226,1,4.026879252055598
lang0gen1mutoff130gen9rcoff286,1,4.026879252055598
lang0gen1mutoff133,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen3mutoff0,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen3mutoff0gen6rcoff748,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen4rcoff430,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen4rcoff430gen6rcoff700,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen4rcoff8,1,4.026879252055598
lang0gen1mutoff133gen2mutoff5gen5rcoff15,1,4.026879252055598
lang0gen1mutoff133gen2mutoff6,1,4.026879252055598
lang0gen1mutoff133gen2mutoff6gen7rcoff662,1,4.026879252055598
lang0gen1mutoff133gen2mutoff9,1,4.026879252055598
lang0gen1mutoff133gen2mutoff9gen7rcoff614,1,4.026879252055598
lang0gen1mutoff133gen6rcoff577,1,4.026879252055598
lang0gen1mutoff15,1,4.026879252055598
lang0gen1mutoff15gen10rcoff147,1,4.026879252055598
lang0gen1mutoff15gen11rcoff21,1,4.026879252055598
lang0gen1mutoff15gen2mutoff3,1,4.026879252055598
lang0gen1mutoff15gen2mutoff3gen9rcoff92,1,4.026879252055598
lang0gen1mutoff15gen5mutoff0,1,4.026879252055598
lang0gen1mutoff20,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen3rcoff109,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen3rcoff109gen4mutoff0,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen3rcoff109gen7rcoff530,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen3rcoff109gen7rcoff530gen12rcoff20,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen4rcoff400,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen4rcoff400gen5mutoff0,1,4.026879252055598
lang0gen1mutoff20gen2mutoff3gen4rcoff400gen7rcoff42,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4gen10rcoff202,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4gen12rcoff77,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4gen3mutoff2,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4gen3rcoff335,1,4.026879252055598
lang0gen1mutoff20gen2mutoff4gen3rcoff335gen4mutoff0,1,4.026879252055598
lang0gen1mutoff20gen2mutoff7,1,4.026879252055598
lang0gen1mutoff20gen2mutoff7gen3mutoff1,1,4.026879252055598
lang0gen1mutoff20gen2mutoff7gen3mutoff1gen6rcoff820,1,4.026879252055598
lang0gen1mutoff20gen8rcoff7,1,4.026879252055598
lang0gen1mutoff28,1,4.026879252055598
lang0gen1mutoff28gen2mutoff0,1,4.026879252055598
lang0gen1mutoff28gen2mutoff0gen3mutoff1,1,4.026879252055598
lang0gen1mutoff28gen2mutoff0gen3mutoff1gen6rcoff119,1,4.026879252055598
lang0gen1mutoff28gen2mutoff10,1,4.026879252055598
lang0gen1mutoff28gen2mutoff10gen5mutoff0,1,4.026879252055598
lang0gen1mutoff28gen2mutoff10gen5mutoff0gen7rcoff124,1,4.026879252055598
lang0gen1mutoff28gen2mutoff10gen5mutoff0gen9rcoff381,1,4.026879252055598
lang0gen1mutoff28gen2mutoff7,1,4.026879252055598
lang0gen1mutoff28gen2mutoff7gen3mutoff2,1,4.026879252055598
lang0gen1mutoff28gen2mutoff7gen4mutoff0,1,4.026879252055598
lang0gen1mutoff28gen2mutoff7gen4mutoff0gen7rcoff349,1,4.026879252055598
lang0gen1mutoff28gen2mutoff7gen4mutoff0gen7rcoff349gen10rcoff173,1,4.026879252055598
lang0gen1mutoff28gen2rcoff12,1,4.026879252055598
lang0gen1mutoff28gen2rcoff12gen7rcoff327,1,4.026879252055598
lang0gen1mutoff28gen4mutoff0,1,4.026879252055598
lang0gen1mutoff28gen4mutoff0gen6rcoff344,1,4.026879252055598
