"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl1085",17,2.23405398941818,"Haspel-ok",1.11948144348577
"fl1086",13,2.22885852038367,"Haspel-ok",1.06587897637712
"fl1087",12,1.88065485377501,"Haspel-ok",0.700065413068233
"fl1088",5,2.36946190403189,"Haspel-ok",0.871000877987376
"fl1089",18,2.3553009242707,"Haspel-ok",1.25123685177277
"fl109",2,4.55250905328505,"Haspel-ok",1.22379709192397
"fl1090",22,2.07597975383346,"Haspel-ok",1.00128942859818
"fl1091",20,2.37348471726008,"Haspel-ok",1.28574662486433
"fl1092",3,2.42424242424242,"Haspel-ok",0.546909029671625
"fl1093",6,1.90265930757652,"Haspel-ok",0.49735925754292
"fl1094",6,2.44079356508067,"Haspel-ok",1.03393968432826
"fl1095",5,2.74700286046419,"Haspel-ok",1.24617263258527
"fl1096",11,2.76330136842796,"Haspel-ok",1.56210873747135
"fl1097",10,2.56010271945121,"Haspel-ok",1.33442928880472
"fl1098",14,2.19936869735136,"Haspel-ok",1.0515568456454
"fl1099",2,4.00225963168004,"Haspel-ok",1.06424204023406
"fl11",10,3.05364589539475,"Haspel-ok",1.82785388439205
"fl110",4,1.87298720329886,"Haspel-ok",0.242220657291974
"fl1100",8,2.72912435801007,"Haspel-ok",1.43563789649526
"fl1101",6,2.92516221914275,"Haspel-ok",1.51688530696712
"fl1102",9,2.02725587742932,"Haspel-ok",0.771955968779757
"fl1103",6,3.05732484076433,"Haspel-ok",1.64864630787749
"fl1104",1,4.13457337244867,"Haspel-ok",0.150926119531139
"fl1105",11,1.67741397262496,"Haspel-ok",0.476808167715071
"fl1106",12,1.78822728805856,"Haspel-ok",0.607684794037717
"fl1107",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl1108",17,2.1177313420435,"Haspel-ok",1.00322360982407
"fl1109",12,2.94551264541496,"Haspel-ok",1.76473697295508
"fl111",20,2.01935744006603,"Haspel-ok",0.933176953049346
"fl1110",17,1.87758314288769,"Haspel-ok",0.763271696122332
"fl1111",3,2.84871591971801,"Haspel-ok",0.94689494367388
"fl1112",18,2.44363645283994,"Haspel-ok",1.33947501306204
"fl1113",6,2.26765557953214,"Haspel-ok",0.861325911944713
"fl1114",11,1.83464833018891,"Haspel-ok",0.63383310525277
"fl1115",6,2.91066614005314,"Haspel-ok",1.50242950415769
"fl1116",1,5.17602283539486,"Haspel-ok",0.360387081168309
"fl1117",5,3.10726854064387,"Haspel-ok",1.60409216024966
"fl1118",9,2.25327494328425,"Haspel-ok",0.997758562612374
"fl1119",4,3.9239071456584,"Haspel-ok",2.25682408362543
"fl112",12,1.72094250451133,"Haspel-ok",0.540444283630967
